"DATE","AM16-STR-A1","AV14-STR-A1"
2014-09-01,NA,NA
2014-09-02,NA,NA
2014-09-03,NA,NA
2014-09-04,NA,NA
2014-09-05,NA,NA
2014-09-06,NA,NA
2014-09-07,NA,NA
2014-09-08,NA,NA
2014-09-09,NA,NA
2014-09-10,NA,NA
2014-09-11,9.79527424860531,NA
2014-09-12,19.9257694617938,NA
2014-09-13,20.0687695613775,NA
2014-09-14,22.4449189915967,NA
2014-09-15,23.0573991340137,NA
2014-09-16,19.7044715973973,NA
2014-09-17,18.3002654841418,NA
2014-09-18,12.2842903953888,NA
2014-09-19,17.0326625831237,NA
2014-09-20,22.4572388275421,15.3779999999994
2014-09-21,23.7151935294036,18.901
2014-09-22,17.7409220518257,13.75
2014-09-23,12.0430478351149,14.4345115958136
2014-09-24,12.0350069015985,13.076
2014-09-25,10.1113547659978,11.041
2014-09-26,9.54365944295013,10.161
2014-09-27,11.6488385014364,11.2191416035931
2014-09-28,14.4979684127328,12.401
2014-09-29,13.2401712420196,11.722
2014-09-30,7.68229707402655,7.81081907281205
2014-10-01,7.17490076630312,7.81114067196241
2014-10-02,10.1865786410355,8.78335367668229
2014-10-03,15.4522762333343,13.75
2014-10-04,14.6996987178763,14.517
2014-10-05,17.0673353623679,14.804
2014-10-06,17.1155911419832,15.76
2014-10-07,18.9991019085307,14.613
2014-10-08,13.3136484306957,12.5910429981306
2014-10-09,14.5921686642936,13.173
2014-10-10,15.931872635881,15.569
2014-10-11,9.13199336707027,10.3530325352102
2014-10-12,9.04342491215436,9.077
2014-10-13,13.4078321177179,14.613
2014-10-14,8.60863084308249,9.077
2014-10-15,6.13386269878528,6.87802183433455
2014-10-16,7.0343966984105,7.32763520687472
2014-10-17,7.6079100296577,11.704725100368
2014-10-18,11.0554013677173,11.0787068502035
2014-10-19,11.8156920711931,14.1965294056002
2014-10-20,9.15997156339019,9.965
2014-10-21,5.59959627963634,6.978
2014-10-22,7.10973850539117,9.077
2014-10-23,5.18417772604074,6.0922129880437
2014-10-24,5.1689862485374,6.064
2014-10-25,7.74790196552882,9.95520205961784
2014-10-26,2.30630094763517,3.367
2014-10-27,3.02572630855419,4.519
2014-10-28,5.61767248124098,8.68
2014-10-29,7.24767816094318,7.882
2014-10-30,7.63219595540948,9.0243016365917
2014-10-31,6.2782316013278,6.82067285309437
2014-11-01,3.18773498027589,3.893
2014-11-02,4.56436685846316,5.41787068915086
2014-11-03,6.12795168520966,7.18729823542706
2014-11-04,7.52205927655161,7.80486479434053
2014-11-05,8.35765706513975,9.669
2014-11-06,9.50785266343643,10.531233386616
2014-11-07,3.53924830578216,3.788
2014-11-08,5.61428299674535,5.55788555536577
2014-11-09,4.5822039807435,6.81300064879932
2014-11-10,2.27924115015117,1.764
2014-11-11,-1.66757682172813,-1.228
2014-11-12,-3.91361094423199,-2.377
2014-11-13,-3.92560103313756,-0.662
2014-11-14,-2.01276826798492,-2.494
2014-11-15,-1.39499332044379,-3.197
2014-11-16,6.97976135391349,0.563
2014-11-17,5.02775238678015,2.195
2014-11-18,5.81726117770266,4.20704530724379
2014-11-19,9.05268225803633,6.166
2014-11-20,3.05143687064173,3.893
2014-11-21,4.17540089163142,6.40110112741268
2014-11-22,0.848853094666372,2.36445096965632
2014-11-23,0.0768856322700678,0.784
2014-11-24,0.611133958840237,4.415
2014-11-25,6.20639384224793,7.381
2014-11-26,5.10077715127442,9.669
2014-11-27,4.18977169700572,8.40853331359136
2014-11-28,5.13033040105191,6.674
2014-11-29,-3.0243570274404,-1.87320027952002
2014-11-30,-4.80560066169309,-4.636
2014-12-01,-0.929667657189216,-0.953256424947751
2014-12-02,1.37791387373118,-1.57
2014-12-03,2.53059443141509,0.563
2014-12-04,2.12703332626439,2.517
2014-12-05,3.59036765830711,3.08908047390681
2014-12-06,2.61026814284928,3.48469252866172
2014-12-07,2.68029512629605,3.367
2014-12-08,4.0456637600024,10.161
2014-12-09,6.74399824764817,10.5538283349901
2014-12-10,5.67620664645445,10.944
2014-12-11,4.68400059037441,7.01713803735671
2014-12-12,2.5229474032391,3.84230076379629
2014-12-13,0.607197417905799,1.33
2014-12-14,1.5063414297413,-1.11017812269301
2014-12-15,1.12942223229298,0.674
2014-12-16,0.507859338886982,1.29332292319872
2014-12-17,1.00337164215449,1.9139662101277
2014-12-18,1.11709925070953,4.62491542008026
2014-12-19,0.982279128069082,4.20448101743362
2014-12-20,5.59607320672475,7.39060121275407
2014-12-21,5.50048527687633,6.62934056177176
2014-12-22,1.06047278546834,2.195
2014-12-23,4.08281686289105,5.347
2014-12-24,0.0942608118842094,0.571046161589328
2014-12-25,-1.00359527763451,-0.549
2014-12-26,-1.39181233509746,-0.102
2014-12-27,0.269219767380651,0.232
2014-12-28,-1.43615710530536,0.0380607913201001
2014-12-29,-3.59209470552667,-2.12784073620241
2014-12-30,-7.49183999891122,-6.754
2014-12-31,-3.25068244667226,-3.42396019182648
2015-01-01,-0.273967687301544,-0.213
2015-01-02,0.121321027188143,0.453
2015-01-03,-1.31538878695598,-0.314654161895897
2015-01-04,0.0588024318772814,3.578
2015-01-05,4.041634390595,4.21111215787101
2015-01-06,2.51338787325872,3.23723461395577
2015-01-07,3.01813850868441,3.06500314852949
2015-01-08,7.09617995203468,4.207
2015-01-09,4.91871173845459,3.683
2015-01-10,2.73238542743915,3.0361230717966
2015-01-11,2.01810205852188,2.48600389437832
2015-01-12,2.23154019472387,1.96258462704829
2015-01-13,0.717671270376171,0.893
2015-01-14,4.06693908877144,2.32794738027148
