"DATE","AM16-STR-A1","AV14-STR-A1"
2014-09-01,NA,NA
2014-09-02,NA,NA
2014-09-03,NA,NA
2014-09-04,NA,NA
2014-09-05,NA,NA
2014-09-06,NA,NA
2014-09-07,NA,NA
2014-09-08,NA,NA
2014-09-09,NA,NA
2014-09-10,NA,NA
2014-09-11,9.79527424860531,NA
2014-09-12,8.24265774289695,NA
2014-09-13,10.5153127404106,NA
2014-09-14,8.56446376554231,NA
2014-09-15,9.2150405018093,NA
2014-09-16,11.0406817063377,NA
2014-09-17,11.0106465235101,NA
2014-09-18,10.3563771432484,NA
2014-09-19,9.50133363205052,NA
2014-09-20,8.48883679554352,12.11
2014-09-21,12.2433827149225,12.0066318527247
2014-09-22,11.0418709395811,10.944
2014-09-23,10.3939829074099,10.0535207168224
2014-09-24,8.98813944436595,9.768
2014-09-25,7.54795253830013,7.76198503559131
2014-09-26,7.12448576672801,7.481
2014-09-27,4.90264148279163,6.75974241215477
2014-09-28,6.55468359719081,7.06584826726682
2014-09-29,4.94066866800375,6.166
2014-09-30,4.94836725052801,6.166
2014-10-01,4.97333636944503,3.788
2014-10-02,1.89252859015439,3.155
2014-10-03,3.96062355362529,6.22509187995333
2014-10-04,8.04274917291812,9.2503705363937
2014-10-05,7.86309413493772,10.2371562250412
2014-10-06,8.32942312658549,10.0750977494238
2014-10-07,8.554485543263,10.748
2014-10-08,6.91185071233743,6.775
2014-10-09,5.89540896528837,7.954967204099
2014-10-10,6.08526261967454,8.082
2014-10-11,5.25357691840571,7.079
2014-10-12,4.58447616563588,6.35546174936866
2014-10-13,4.54485453518273,6.05000355318095
2014-10-14,4.59173106371367,5.59880392177686
2014-10-15,3.98074085205595,5.08818655940957
2014-10-16,3.97666241167688,4.623
2014-10-17,5.4570015147355,4.71897581230988
2014-10-18,7.44483077361248,8.082
2014-10-19,7.0735475183297,7.42911440090888
2014-10-20,5.54468512626652,6.064
2014-10-21,5.00277368509844,5.037
2014-10-22,5.43140133720675,6.49366245525763
2014-10-23,3.01351447596233,2.088
2014-10-24,1.77163493984575,2.41
2014-10-25,2.47231607761298,3.73019610089363
2014-10-26,-0.00641053048569426,1.33
2014-10-27,-0.0324940189247346,0.674
2014-10-28,1.99074526010377,3.14466583731391
2014-10-29,4.55755473630084,5.347
2014-10-30,5.47077710415129,5.81626966234896
2014-10-31,2.47107179324981,2.517
2014-11-01,1.0536798470394,1.09173340695023
2014-11-02,0.525282251867162,1.98
2014-11-03,3.06461158827243,5.4158830656891
2014-11-04,3.48923759613897,4.623
2014-11-05,3.44825318823298,4.415
2014-11-06,2.17517478177662,3.48504614427361
2014-11-07,-0.597404395373252,0.343
2014-11-08,-0.0672445135348811,0.674
2014-11-09,1.13923511946646,0.905321952268831
2014-11-10,-1.11771722563342,-1.114
2014-11-11,-8.53116778569789,-6.12
2014-11-12,-9.01455329089817,-6.17200835097232
2014-11-13,-6.96228438610027,-5.14140584784767
2014-11-14,-5.67639787433816,-5.249
2014-11-15,-5.58793702608629,-6.32385284800224
2014-11-16,-2.33281687890731,-4.48924613861855
2014-11-17,-0.241732461933136,0.546616671716924
2014-11-18,0.574354775686676,1.548
2014-11-19,2.38876459409257,2.73
2014-11-20,1.38561553885552,2.63199750941534
2014-11-21,0.22504917948006,2.88047302750289
2014-11-22,-1.40815187121862,-0.239520393498046
2014-11-23,-0.398211367443702,0.154695798622923
2014-11-24,-2.947945141711,-1.49245291843803
2014-11-25,0.0115544872992415,4.46434800244227
2014-11-26,2.96417595795206,6.33101324160282
2014-11-27,1.85173045330461,5.52733293465097
2014-11-28,-2.91718726622486,-1.684
2014-11-29,-8.80670722846133,-9.02016042525059
2014-11-30,-9.00980718619792,-8.60971371750126
2014-12-01,-7.20333134425152,-5.62
2014-12-02,-6.24896897168262,-5.249
2014-12-03,0.524429808359074,-1.39737525650523
2014-12-04,1.0013489666822,0.507770993014319
2014-12-05,1.61131349166514,1.656
2014-12-06,0.0142577877802583,1.764
2014-12-07,0.0561690423218712,1.10189394877899
2014-12-08,2.0625264137961,2.943
2014-12-09,3.60096312021249,5.10449864162755
2014-12-10,1.94889374099687,3.683
2014-12-11,0.0991509988887924,1.003
2014-12-12,-0.066044080020907,0.784
2014-12-13,-1.49038460661419,-0.887
2014-12-14,-1.51101108233257,-2.494
2014-12-15,-1.01179619572524,-2.727
2014-12-16,-1.57899846689797,0.0476251467769746
2014-12-17,-0.521571711627634,0.136543783110636
2014-12-18,-0.000829245893824437,0.612509498784494
2014-12-19,-0.0292685305967987,0.0100000000000002
2014-12-20,-0.415607264545797,0.597719844949442
2014-12-21,0.401619997235822,2.41
2014-12-22,-0.927205466709277,-0.843767488248076
2014-12-23,-0.95510926286512,0.0510945510699656
2014-12-24,-2.58885364949541,-0.887
2014-12-25,-2.78770445634162,-2.77001066905457
2014-12-26,-5.51290662385907,-2.75486024399481
2014-12-27,-2.06046320645301,-1.61539289442412
2014-12-28,-3.29852887823852,-2.03
2014-12-29,-9.35010907054666,-8.58
2014-12-30,-11.5240346477709,-9.8430438148727
2014-12-31,-8.81361551111012,-6.33088531795796
2015-01-01,-5.03144596027633,-3.25700932511093
2015-01-02,-1.69225959259466,-0.325
2015-01-03,-4.56758430659033,-3.079
2015-01-04,-2.40745281942239,-1.31932464593779
2015-01-05,-0.00252188199979083,1.67722674681836
2015-01-06,0.448664216585815,1.32184525170112
2015-01-07,0.618079548946058,2.35772513110276
2015-01-08,1.34952239622187,2.81603219557657
2015-01-09,1.01950371818876,2.088
2015-01-10,0.950504633915507,1.656
