"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,10,6,1,0,8.978
2014,10,6,3,0,8.879
2014,10,6,5,0,8.879
2014,10,6,7,0,8.879
2014,10,6,9,0,8.879
2014,10,6,11,0,8.978
2014,10,6,13,0,9.275
2014,10,6,15,0,9.571
2014,10,6,17,0,9.669
2014,10,6,19,0,9.571
2014,10,6,21,0,9.472
2014,10,6,23,0,9.373
2014,10,7,1,0,9.275
2014,10,7,3,0,9.275
2014,10,7,5,0,9.176
2014,10,7,7,0,9.176
2014,10,7,9,0,9.077
2014,10,7,11,0,9.176
2014,10,7,13,0,9.373
2014,10,7,15,0,9.571
2014,10,7,17,0,9.669
2014,10,7,19,0,9.768
2014,10,7,21,0,9.669
2014,10,7,23,0,9.669
2014,10,8,1,0,9.571
2014,10,8,3,0,9.373
2014,10,8,5,0,8.978
2014,10,8,7,0,8.68
2014,10,8,9,0,8.68
2014,10,8,11,0,8.879
2014,10,8,13,0,9.176
2014,10,8,15,0,9.373
2014,10,8,17,0,9.275
2014,10,8,19,0,9.077
2014,10,8,21,0,8.879
2014,10,8,23,0,8.68
2014,10,9,1,0,8.581
2014,10,9,3,0,8.382
2014,10,9,5,0,8.282
2014,10,9,7,0,8.282
2014,10,9,9,0,8.282
2014,10,9,11,0,8.382
2014,10,9,13,0,8.581
2014,10,9,15,0,8.879
2014,10,9,17,0,8.978
2014,10,9,19,0,8.978
2014,10,9,21,0,8.879
2014,10,9,23,0,8.68
2014,10,10,1,0,8.581
2014,10,10,3,0,8.481
2014,10,10,5,0,8.382
2014,10,10,7,0,8.282
2014,10,10,9,0,8.282
2014,10,10,11,0,8.382
2014,10,10,13,0,8.68
2014,10,10,15,0,9.077
2014,10,10,17,0,9.077
2014,10,10,19,0,8.978
2014,10,10,21,0,8.879
2014,10,10,23,0,8.779
2014,10,11,1,0,8.779
2014,10,11,3,0,8.779
2014,10,11,5,0,8.779
2014,10,11,7,0,8.68
2014,10,11,9,0,8.481
2014,10,11,11,0,8.481
2014,10,11,13,0,8.481
2014,10,11,15,0,8.182
2014,10,11,17,0,8.182
2014,10,11,19,0,8.082
2014,10,11,21,0,8.082
2014,10,11,23,0,8.082
2014,10,12,1,0,7.983
2014,10,12,3,0,7.983
2014,10,12,5,0,7.882
2014,10,12,7,0,7.782
2014,10,12,9,0,7.782
2014,10,12,11,0,7.882
2014,10,12,13,0,7.983
2014,10,12,15,0,8.182
2014,10,12,17,0,8.182
2014,10,12,19,0,8.182
2014,10,12,21,0,8.082
2014,10,12,23,0,7.983
2014,10,13,1,0,7.983
2014,10,13,3,0,7.882
2014,10,13,5,0,7.782
2014,10,13,7,0,7.682
2014,10,13,9,0,7.782
2014,10,13,11,0,7.983
2014,10,13,13,0,8.282
2014,10,13,15,0,8.481
2014,10,13,17,0,8.581
2014,10,13,19,0,8.779
2014,10,13,21,0,8.879
2014,10,13,23,0,8.978
2014,10,14,1,0,8.68
2014,10,14,3,0,7.582
2014,10,14,5,0,7.481
2014,10,14,7,0,7.582
2014,10,14,9,0,7.582
2014,10,14,11,0,7.682
2014,10,14,13,0,7.983
2014,10,14,15,0,8.182
2014,10,14,17,0,8.182
2014,10,14,19,0,8.182
2014,10,14,21,0,8.082
2014,10,14,23,0,7.983
2014,10,15,1,0,7.882
2014,10,15,3,0,7.782
2014,10,15,5,0,7.682
2014,10,15,7,0,7.582
2014,10,15,9,0,7.481
2014,10,15,11,0,7.582
2014,10,15,13,0,6.978
2014,10,15,15,0,7.079
2014,10,15,17,0,7.079
2014,10,15,19,0,6.877
2014,10,15,21,0,6.877
2014,10,15,23,0,6.877
2014,10,16,1,0,6.978
2014,10,16,3,0,6.877
2014,10,16,5,0,6.775
2014,10,16,7,0,6.775
2014,10,16,9,0,6.775
2014,10,16,11,0,6.877
2014,10,16,13,0,7.079
2014,10,16,15,0,7.179
2014,10,16,17,0,7.179
2014,10,16,19,0,7.079
2014,10,16,21,0,6.978
2014,10,16,23,0,6.877
2014,10,17,1,0,6.775
2014,10,17,3,0,6.775
2014,10,17,5,0,6.877
2014,10,17,7,0,6.978
2014,10,17,9,0,6.978
2014,10,17,11,0,7.179
2014,10,17,13,0,7.481
2014,10,17,15,0,7.782
2014,10,17,17,0,7.882
2014,10,17,19,0,7.983
2014,10,17,21,0,8.282
2014,10,17,23,0,8.282
2014,10,18,1,0,8.282
2014,10,18,3,0,8.382
2014,10,18,5,0,8.282
2014,10,18,7,0,8.282
2014,10,18,9,0,8.382
2014,10,18,11,0,8.481
2014,10,18,13,0,8.581
2014,10,18,15,0,8.68
2014,10,18,17,0,8.68
2014,10,18,19,0,8.581
2014,10,18,21,0,8.481
2014,10,18,23,0,8.282
2014,10,19,1,0,8.182
2014,10,19,3,0,7.983
2014,10,19,5,0,7.983
2014,10,19,7,0,7.983
2014,10,19,9,0,7.983
2014,10,19,11,0,8.182
2014,10,19,13,0,8.481
2014,10,19,15,0,8.779
2014,10,19,17,0,8.779
2014,10,19,19,0,8.779
2014,10,19,21,0,8.68
2014,10,19,23,0,8.581
2014,10,20,1,0,8.481
2014,10,20,3,0,8.481
2014,10,20,5,0,8.68
2014,10,20,7,0,8.581
2014,10,20,9,0,8.581
2014,10,20,11,0,8.481
2014,10,20,13,0,8.481
2014,10,20,15,0,8.382
2014,10,20,17,0,8.282
2014,10,20,19,0,8.082
2014,10,20,21,0,7.882
