"DATE","MIN_TEMP","MAX_TEMP","AVG_TEMP"
2013-11-10,0.890213998045304,5.45,2.98569275474989
2013-11-11,1.83725562154211,7.381,4.02051546258604
2013-11-12,3.73696981283338,7.179,5.11457593030028
2013-11-13,0.453,4.4160440778874,3.34581748789998
2013-11-14,-0.549,1.88896668650728,0.671380708475285
2013-11-15,-1.09987963481342,0.233371943609995,-0.379197841333097
2013-11-16,-2.844,0.246661736605224,-1.61170815021629
2013-11-17,-3.02131604915676,0.563,-0.413119607974943
2013-11-18,0.258382316386951,1.33,0.741971719865185
2013-11-19,-2.261,3.578,0.847939166148068
2013-11-20,-6.00214831822943,-2.08174653954141,-3.88905144565475
2013-11-21,-7.01,-1.57,-4.58995745744318
2013-11-22,-3.792,4.102,-0.0856906991085588
2013-11-23,1.003,4.207,2.40971700275246
2013-11-24,0.893,3.8754991382249,1.79762193675361
2013-11-25,0.407474630638441,3.13580562235189,1.29723697646381
2013-11-26,0.0847875741703154,3.788,1.71948878810433
2013-11-27,0.893,4.28854813889922,2.26983371775422
2013-11-28,-0.102,3.578,1.06919612916602
2013-11-29,-0.437,5.11661473514496,1.6995821474742
2013-11-30,0.892919705135964,3.155,1.75950822850967
2013-12-01,1.439,4.76778430709947,3.24130955436699
2013-12-02,-5.87,1.23676329366047,-3.67093430638534
2013-12-03,-8.982,-4.44969224961816,-6.41672582237993
2013-12-04,-10.916,-6.626,-8.69826227039519
2013-12-05,-11.704677426029,-6.64117672323006,-8.75716134518395
2013-12-06,-14.023,-11.1529747859017,-12.4307502627449
2013-12-07,-15.124,-11.631,-14.1062745697496
2013-12-08,-15.3396675648925,-8.982,-12.6199447865015
2013-12-09,-11.344,-5.62,-8.30138952568085
2013-12-10,-5.53183482625224,-3.05493829661615,-4.28141454714972
2013-12-11,-6.0266481559577,0.29871600174312,-2.74496294945844
2013-12-12,-2.377,0.355949329418851,-0.811495660697148
2013-12-13,4.03371308689681e-05,1.439,0.373494521314157
2013-12-14,-0.102,1.81906785188531,0.619736767874834
2013-12-15,0.121,2.92738835876531,1.48194730909354
2013-12-16,-0.549,1.18711655985932,0.345762986556662
2013-12-17,0.01,3.683,1.42868050399026
2013-12-18,-3.553,2.6629817657801,-0.0279897084194821
2013-12-19,-6.246,-3.00738512396845,-4.72852949964262
2013-12-20,-6.754,-0.397621925738561,-3.29585698453576
2013-12-21,-0.549,0.944163777561293,0.206491855822505
2013-12-22,0.292859161566953,2.37504077634566,0.9352306790077
2013-12-23,-1.684,2.65467675159611,0.668222042561398
2013-12-24,-3.672,-1.57,-2.52693350662676
2013-12-25,-3.52416620331815,1.221,-1.25899890131743
2013-12-26,-0.472136358588557,1.656,0.290202600274152
2013-12-27,0.121,4.207,1.25125646145595
2013-12-28,-3.316,0.121,-1.29680876934148
2013-12-29,-4.031,-0.367152541026916,-2.42156663938454
2013-12-30,-0.87925746862317,2.517,1.13873186463139
2013-12-31,-0.662,1.8058726227725,0.626075981650944
2014-01-01,-1.51626072009744,1.112,-0.246091652279846
2014-01-02,-0.0623177722955044,3.683,1.78666663457404
2014-01-03,-5.496,0.219390933876491,-2.73602795226949
2014-01-04,-7.397,-2.962,-5.43288082792172
2014-01-05,-5.125,0.784,-2.69933914822572
2014-01-06,-0.76043126338084,0.674,0.0583674698696948
2014-01-07,0.0333724486430011,1.10235761567546,0.351385213785512
2014-01-08,0.00999999999999994,1.003,0.371729056195819
2014-01-09,-2.39617934793984,0.152260433254116,-1.009437037625
2014-01-10,-0.213,0.563,0.110526151605495
2014-01-11,-1.14743588587707,0.563,-0.255608848068059
2014-01-12,-2.377,0.202478483500193,-1.04496392529754
2014-01-13,0.109997871750382,1.81418757264774,0.841004165060458
2014-01-14,-0.549,1.64217907757574,0.450162314094875
2014-01-15,-2.235357571983,1.112,-0.501388800263158
2014-01-16,0.563,2.16181166642534,1.02278111358104
2014-01-17,-0.102,3.261,1.1208219942011
2014-01-18,0.343,3.61232878376513,1.38180853946541
2014-01-19,-0.697614145304604,2.837,0.988250159284257
2014-01-20,1.32853676475949,4.102,2.78787032623408
2014-01-21,0.453,4.54293267128598,2.02782279929581
2014-01-22,-0.716400658520997,1.93852539273027,0.366545965301301
2014-01-23,0.81683259600218,7.179,3.91815233076536
2014-01-24,1.74103886147641,7.882,3.66554374175692
2014-01-25,0.00926957427133657,3.578,1.29767075279265
2014-01-26,-0.102,4.16850790456583,1.23374986909168
2014-01-27,0.42331178530071,5.037,2.06945807900282
2014-01-28,1.33,3.261,1.91510009579314
2014-01-29,0.0983946538305712,3.472,1.37201488240977
2014-01-30,-2.15993565086427,0.108345011904449,-1.45941684354519
2014-01-31,-2.261,-0.998877753548591,-1.8560418429767
2014-02-01,-5.003,-1.001,-2.47656908960546
2014-02-02,-6.90086513744498,-2.261,-4.89406597604161
2014-02-03,-8.182,-3.95630399555431,-5.75877036140354
2014-02-04,-13.258,-7.918,-9.39054613840589
2014-02-05,-17.6198518767871,-13.107,-15.4292518919618
2014-02-06,-17.457355551207,-12.807,-14.878172342705
2014-02-07,-13.715,-4.393,-9.40921383838064
2014-02-08,-7.397,-5.372,-6.52707767724254
2014-02-09,-7.03363089905826,0.563,-2.83299552448054
2014-02-10,-1.69689962194412,0.365887488934413,-0.405374259964392
2014-02-11,-0.102,1.112,0.267484386679909
2014-02-12,-0.0506181524616911,2.624,0.997412585854128
2014-02-13,-1.914,2.73,0.0424518884783148
2014-02-14,-1.80397578039043,0.674,0.0210499222355179
2014-02-15,-3.434,0.261124619016278,-1.03580330818537
2014-02-16,-3.71685356481863,-0.549,-2.22856667251754
2014-02-17,-2.145,-0.102,-0.902770031878794
2014-02-18,-3.792,0.360640002551104,-1.3287713785463
2014-02-19,-4.152,-3.079,-3.48953960490707
2014-02-20,-3.08233088526181,-1.228,-1.79933940461388
2014-02-21,-3.73617074088567,-0.437,-2.42615669925557
2014-02-22,-5.26168731096729,-3.197,-4.02580533749054
2014-02-23,-3.64098763576192,0.453,-1.56185801725895
2014-02-24,-0.102,0.453,0.162018512664508
2014-02-25,0.228422904988882,1.98,0.848150872386598
2014-02-26,1.09325675375468,6.37,2.5933928910355
2014-02-27,0.674,2.624,1.38381940752352
2014-02-28,-0.662,5.26504520897323,1.84901653503348
2014-03-01,-1.114,0.915222696217582,-0.251100335602964
